show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5157,Movie,Ceasefire,Emmanuel Courcol,"Romain Duris, Céline Sallette, Grégory Gadebois, Julie-Marie Parmentier, Maryvonne Schiltz, Wabinlé Nabié",,,2017,PG-13,104 min,"Action, Arts, Entertainment, and Culture, Drama","In the early 1920s, Georges Laffont, traumatized by the horrific trench warfar, decides to travel to West Africa into the vast territories of Upper Volta."
s5158,Movie,Blackbird,Roger Mitchell,"Susan Sarandon, Kate Winslett, Mia Wasikowska, Sam Neill, Rainn Wilson",,,2020,R,98 min,Drama,"Lily (Susan Sarandon) summons her daughters Jennifer (Kate Winslet) and Anna (Mia Wasikowska) for one final family reunion as she looks to end her battle with a terminal illness. Amid the bittersweet farewell, unresolved feelings surface."
s5159,Movie,Valley of the Gods,Lech Majewski,"John Malkovick, Josh Hartnett, Jaime Ray Newman",,,2020,16+,127 min,"Action, Arthouse, Drama","Starring Josh Hartnett and John Malkovich, Valley of the Gods juxtaposes abundance and poverty through the eyes of an anguished writer, a bizarre trillionaire, and a struggling Navajo community armed with only a now-imminent ancient legend."
s5160,Movie,Pak Pak Pakaak,Gautam Joglekar,"Nana Patekar, Saksham Kulkarni, Narayani Shastri, Usha Nadkarni, Jyoti Subhash, Rekha Kamat, Vijay Patwardhan, Arun Hornekar, Vidyadhar Joshi, Anand Ingle, Nandu Pol, Aditi Deshpande, Jyoti Joshi, Damoo Kenkre, Jayraj Nair, Prachi Shah",,,2005,ALL,138 min,"Action, Comedy, Drama","A young mischievous boy, Chiklu, ventures into a big forest which is supposedly haunted by a ghost, Bhootya. After several encounters, Chiklu befriends Bhootya, changing their lives forever."
s5161,Movie,One Step Behind the Seraphim,Daniel Sandu,"Stefan Iancu, Vlad Ivanov, Toto Dumitrescu, Cristian Bota, Iulia Alexandra Dinu",,,2020,18+,147 min,"Drama, Special Interest, Suspense","A group of freshmen in an orthodox college are introduced in a world of cons, pleasure and money, but they soon discover that's not the way one's life should be lead."
s5162,Movie,I Am Not Madame Bovary,Xiaogang Feng,"Fan Bingbing, Chengpeng Dong",,,2016,16+,139 min,"Comedy, Drama","Li Xuelian and her husband stage a fake divorce to secure a second apartment in the city reserved by the government for single people. But when her husband remarries six months later-as agreed-but to a different woman, a furious Li files a lawsuit with the county court. Losing her case only makes Li more determined to take her fight to the highest levels of government in Beijing."
s5163,Movie,Asin_tombstone_test_target_04,Test Director,"Test Actor 1, Test Actor 2",,,2019,G,0 min,Comedy,asin_tombstone_test_target_04 short
s5164,Movie,What the Waters Left Behind,"Nicolás Onetti, Luciano Onetti","Agustín Pardella, Damián Dreizik, Victoria Maurette, Victorio D'Alessandro, Paula Brasca",,,2018,18+,95 min,Horror,"A group of young people take a trip to the ruins in order to film a documentary about Epecuén. Ignoring the warnings, and after a brief tour, they get stranded in the abandoned village. Contrary to what they thought, they begin to realize that they are really not alone."
s5165,Movie,Unlawful Duties,Sunil Kulkarni,"Chrystopher Avant, Dennis Mallen, David Mann",,,2021,18+,9 min,"Action, Drama, Suspense",Two Officers on night duty receives a dispatch to investigate a disturbance in the area only to discover more than they expected.
s5166,Movie,Un Regalo Esencial,Jose Mario Salas Boza,"Viviana Calderon, Pablo Rodriguez, Mauricio Hoffman, Norval Calvo, Roque Ramirez",,,2020,13+,108 min,"Arts, Entertainment, and Culture, Comedy, Romance","It is the year 2025, and Alejandro tells his grandson Josue a story from a book that he is reading about a singer and a dancer who fell in love in 1985, but love represents much more than only sharing life together."
s5167,Movie,The Time Traveler,Nico Mastorakis,"Keir Dullea, Adrienne Barbeau, Peter Hobbs",,,1984,13+,101 min,"Science Fiction, Suspense","This sci-fi mystery-thriller, written and directed by Nico Mastorakis, with Adrienne Barbeau (""Escape From New York,"") Keir Dullea (""2001, A Space Odyssey,"") and Jeremy Licht (""Twilight Zone-The Movie""). On the island of Mykonos, a metaphysical tale of mystery and friendship between a time traveler, a boy, and his dog. Music by Stanley Myers (""The Deer Hunter."")"
s5168,Movie,The Naked Truth,Nico Mastorakis,"Robert Caso, Courtney Gibbs, Kevin Schon, Herb Edelman, Brian Thompson, Yvonne De Carlo, Erik Estrada, Lou Ferrigno, Zsa Zsa Gabor, Little Richard, Shannon Tweed, John Vernon, M. Emmet Walsh",,,1992,16+,99 min,Comedy,"Directed by Nico Mastorakis, this hilarious spoof features a stellar cast, including Zsa Zsa Gabor, Herb Edelman, M. Emmet Walsh, Bubba Smith, Ted Lange, John Vernon, Alex Cord, Erik Estrada, Norman Fell, Lou Ferrigno, Billy Barty, Dick Gautier, David Birney, Camilla Sparv, Shannon Tweed, and some of the most beautiful women in Hollywood. Poking fun at beauty pageants has never been so much fun!"
s5169,Movie,The Attorney,Woo-seok Yang,"Kang-ho Song, Kwang Soo Cha, Gi-joong Han",,,2014,16+,127 min,Drama,"Woo-seok Song has no clients, connections or even a college degree, but his eye for business and appetite for money turn him into one of the most successful lawyers in town. But right at the peak of his success, a local teenager is falsely accused of a crime, then beaten and tortured while waiting in jail. Shocked by these conditions, Song takes on the case no one else will. Based on a true story."
s5170,Movie,Terminal Exposure,Nico Mastorakis,"Mark Hennessy, Hope Marie Carlton, John Vernon, Ted Lange, Joe Estevez, Patrick St. Esprit",,,1987,16+,100 min,"Action, Comedy","Award-winning director Nico Mastorakis, renowned for suspense and horror (""Island of Death,"" ""The Zero Boys,"" ""The Wind"") takes a creative detour into action-comedy with zest and spectacular results. Venice Beach; intrigue, murder, sexy females, young comedians, with veteran actors, John Vernon and Ted Lange among the cameo cast. Spiced up by Hans Zimmer's youthful, energetic score."
s5171,Movie,T-Rex Ranch - Giant T-Rex Dinosaurs - Dinosaur Videos for Kids,Arron Michael,"LB, Arron Michael",,,2020,ALL,31 min,Kids,"T-Rex Ranch brings you another awesome fun-packed collection of Jurassic dinosaur videos ! Watch your favorite park rangers get into all sorts of wonderful adventures, coming across lots of scary dinosaurs, awesome toys and much more!"
s5172,Movie,Scare Attraction,Steven M. Smith,"Tony Fadil, Sonera Angel, Primrose Bigwood",,,2019,18+,73 min,Horror,Reality TV stars attend a Halloween Scare Attraction. Suddenly the escape room turns deadly as gas leaks in leaving them unconscious. A voice tells them they must tell a truth or die. Who will survive the real scare attraction?
s5173,Movie,Saathiya,Shaad Ali,"Rani Mukerji, Tanuja, Satish Shah, Vivek Oberoi, Sandhya Mridul, Swaroop Sampat, Sharat Saxena, Tinnu Anand",India,,2002,ALL,138 min,"Drama, International, Romance","""Running away from home can’t keep a couple together. Love can. While for most Love Stories, marriage is the goal, the fact remains -marriage is just the beginning. A story of Aditya (Vivek) and Suhani (Rani Mukerji) SAATHIYA continues from where most love stories end. From the infatuation stage when a couple thinks they are in love right through to when they discover the true meaning of love."""
s5174,Movie,Rendez-vous,Pablo Olmos Arrayales,"Antonio Alcántara, Helena Puig, Markin López, Axel Zapién, Aaron Gómez, Italo Maximiliano Concha Veloz, Héctor Vázquez Urquieta",,,2021,16+,106 min,"Drama, Horror, Suspense","Lili and Eduardo meet for the first time after connecting on a dating app. Eduardo arrives late but with a good reason in a place like Mexico City: he was mugged and they took his phone so he couldn't text her to say he was running late. While at first everything seems to be going fine, when Lili finds Eduardo's phone in his jacket, things take an unexpected and terrifying turn for the worse."
s5175,Movie,Rakhwala,K. Muralimohana Rao,"Anil Kapoor, Farha Naaz, Shabana Azmi, Asrani, Beena Banerjee, Prem Chopra, Ketki Dave, Renu Joshi, Annu Kapoor, Shakti Kapoor, Sameer Khakhar, Suresh Oberoi, Sharat Saxena, Rahul Singh, Tanuja, Ajit Vachani",,,1989,13+,158 min,Drama,"A little girl comes from her village to Bombay to find her father. She meets a kind person who could help her, but is helpless as she doesn't know her father's name nor has his photograph."
s5176,Movie,Predatory Lender,Vert Wright,"Jim Meyer, Kristina Hagan, Vikas Ahuja, Robert Parham, Gretta Sosine, Bunny Elizabeth Stewart, Heather Renée Smith",,,2021,16+,82 min,"Drama, Suspense","Luke, a psychopathic real estate agent is as cold and deceptive in business as he is in the pursuit of his beautiful young prey."
s5177,Movie,Permission,Brian Crano,"Rebecca Hall, Dan Stevens, Gina Gershon, Francois Arnaud, Jason Sudeikis, Morgan Spector, Sarah Steele",,,2018,18+,98 min,"Comedy, Drama",A woman on the brink of a marriage proposal is told by a friend that she should date other men before spending the rest of her life with her boyfriend.
s5178,Movie,Paper Moon,Peter Bogdanovich,"Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman, P. J. Johnson, Randy Quaid, Noble Willingham, Ed Reed, Bob Young, Liz Ross",,,1973,PG,102 min,"Comedy, Drama","Ryan O'Neal teams up with his daughter, Tatum in this film for which Tatum won an Oscar in her role. Con man Moses Pray, driving through depression-era Kansas with a carload of deluxe bibles and a list of newly widowed prospects for his line."
s5179,TV Show,Nursery Rhymes and Kids Songs by Little Baby Bum,,,,"May 18, 2021",2015,ALL,10 Seasons,"Kids, Special Interest","This collection includes some of the best educational nursery rhymes and kids songs for your babies. Enjoy this season of songs including 'Shapes Train Song', 'Wheels on the Bus', and many more!"
s5180,Movie,Miracle In The Woods,Arthur Allan Seidelman,"Meredith Baxter, Della Reese, Patricia Heaton",,,1997,13+,92 min,Drama,Two sisters inherit their mother's land only to discover a surprise tenant on the property. A dramatic story soon unfolds into something truly spectacular.
s5181,Movie,Midnight Devils,"Abel Berry, Jennifer Michelle Stone II","Michael Berryman, Erin Marie Garrett, Guy Mayfield, Billy Blair",,,2020,18+,79 min,Horror,"Two rough girls, Diem and Uri, from the inner city steal a suitcase full of money from violent drug dealers and flee to an old house where Deim's grandfather lives. Just as the drug dealers find the girls, an ancient evil is awakened inside the house by a mad man (Billy Blair) and chaos ensues. The house full of criminals must all work together in order to survive the night and make it to dawn."
s5182,Movie,Mega Dinosaur Fun T-Rex Ranch,Aaron Michael,"LB, Aaron Michael",,,2018,ALL,12 min,Kids,"T-Rex Ranch brings you another awesome fun-packed collection of Jurassic dinosaur videos ! Watch your favorite park rangers get into all sorts of wonderful adventures, coming across lots of scary dinosaurs, awesome toys and much more!"
s5183,Movie,Leave No Trace,Debra Granik,"Ben Foster, Thomasin Harcourt McKenzie, Jeff Kober, Dale Dickey","United States, Canada",,2018,PG,109 min,Drama,"Will and his daughter have lived off the grid for years until both are put into traditional housing. After clashing with new surroundings, they embark on a journey home."
s5184,Movie,Hansel and Gretel,Len Talan,"David Warner, Hugh Pollard, Nicola Stapleton",,,1988,ALL,89 min,"Arts, Entertainment, and Culture, Kids, Science Fiction",Based on the fairy tale by The Brothers Grimm. Hansel and Gretel are abandoned after the famine strike in the village and where Hansel and Gretel are later trapped in the deceptively decorated house of the witch Griselda who wishes to fatten Hansel so that he may be baked into a delicious gingerbread treat.
s5185,Movie,Glitch!,Nico Mastorakis,"Will Egan, Steve Donmyer, Julia Nickson, Ji-Tu Cumbuka, Ted Lange",,,1988,16+,86 min,Comedy,"A ""typical Hollywood"" comedy, directed by Nico Mastorakis, featuring the talents of brilliant young comedians, and the skills of veterans like Ted Lange, Dick Gautier and Julia Nickson. A Malibu mansion packed with wannabe beauties, becomes the stage for robbery, murder, Mafia revenge and true love - all served with sugar and spice. Music and songs by Grammy-award winner, Tom Marolda."
