names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
I Am the Abyss,10/27/2022 ,58.0,Thriller,"The Man Who Cleans knows you can find a lot of secrets in trash. People tend to lie but their trash never does. The Man Who Cleans thought he was invisible, until he met the Girl with the Purple Hair Lock. Girl with the Purple Hair Lock breaks into his tidy life because only an evil angel can save her now. Meanwhile, the Huntress knows somebody is killing blonds out there. Nobody believes her, but she knows. What she doesn't know, though, is that evil is hiding behind the green door. The truth lies at the bottom of a dark, deep abyss.","Michela Cescon, La Cacciatrice di Mosche, Gabriel Montesi, L’Uomo che Puliva, Sara Ciocca, La Ragazzina col Ciuffo Viola, Giordana Faggiano, Poliziotta, Sergio Albelli, Il Prof, Lidiya Liberman, , Andrea Gherpelli, Rottinger, Katia Fellin, , Adalgisa Manfrida, ", Io sono l'abisso, Released, Italian,97140000.0,181655466.4,IT
Wedding Crashers,08/11/2005 ,65.0,"Comedy, Romance","John and his buddy, Jeremy are emotional criminals who know how to use a woman's hopes and dreams for their own carnal gain. Their modus operandi: crashing weddings. Normally, they meet guests who want to toast the romantic day with a random hook-up. But when John meets Claire, he discovers what true love – and heartache – feels like.","Owen Wilson, John Beckwith, Vince Vaughn, Jeremy Grey, Christopher Walken, Secretary William Cleary, Rachel McAdams, Claire Cleary, Isla Fisher, Gloria Cleary, Jane Seymour, Kathleen Cleary, Ellen Albertini Dow, Grandma Mary Cleary, Keir O'Donnell, Todd Cleary, Bradley Cooper, Zachary 'Sack' Lodge",Wedding Crashers, Released, English,40000000.0,283218368.0,AU
Detective Conan: Magician of the Silver Sky,04/17/2004 ,69.0,"Animation, Mystery","Once again, Kaitou Kid crosses swords with Conan Edogawa in this annual installment of the Detective Conan movie franchise. After receiving a letter from the thief, famous actress Juri Maki seeks the help of private detective Kogorou Mouri to protect the Star Sapphire—the ""Jewel of Destiny,"" said to represent faith, fate, and hope.","Minami Takayama, Conan Edogawa (voice), Kappei Yamaguchi, Kaito Kid (voice)/Shinichi Kudo (voice), Wakana Yamazaki, Ran Mouri (voice), Akira Kamiya, Kogorou Mouri (voice), Kenichi Ogata, Hiroshi Agasa (voice), Hidekatsu Shibata, Tooru Ban (voice), Megumi Hayashibara, Ai Haibara (voice), Gara Takashima, Eri Kisaki (voice), Keiko Toda, Juri Maki (voice)", 名探偵コナン 銀翼の奇術師, Released, Japanese,94400000.0,499328883.8,JP
Master and Commander: The Far Side of the World,12/04/2003 ,71.0,"Adventure, Drama, War","After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.","Russell Crowe, Captain Jack Aubrey, Paul Bettany, Dr. Stephen Maturin, Billy Boyd, Barrent Bonden, Coxswain, James D'Arcy, 1st Lt. Thomas Pullings, Lee Ingleby, Midshipman Hollom, George Innes, Joe Plaice, Able Seaman, Mark Lewis Jones, Mr. Hogg, Whaler, Chris Larkin, Captain Howard, Royal Marines, Richard McCabe, Mr. Higgins, Surgeon's Mate",Master and Commander: The Far Side of the World, Released, English,135000000.0,212912137.0,AU
Inferno,09/25/1999 ,61.0,"Action, Drama, Romance","Eddie Lomax (Jean-Claude Van Damme) is a drifter who has been in a suicidal funk since the death of his close friend Johnny (Danny Trejo). Riding his motorcycle into a small desert town where Johnny once lived, Lomax is confronted by a gang of toughs, who beat him and steal his bike. However, Lomax is not a man to take an injustice lying down, and soon he begins exacting a violent revenge on the men who stole his motorcycle, with local handyman Jubal Early (Pat Morita) lending a hand and several area ladies offering aid and comfort.","Jean-Claude Van Damme, Eddie Lomax, Pat Morita, Jubal Early, Danny Trejo, Johnny Six Toes, Gabrielle Fitzpatrick, Rhonda Reynolds, Larry Drake, Ramsey Hogan, Vincent Schiavelli, Mr. Singh, David ""Shark"" Fralick, Matt Hogan, Silas Weir Mitchell, Jesse Hogan, Jonathan Avildsen, Petey Hogan",Inferno, Released, English,75000000.0,219519367.0,US
Savage Grace,07/27/2007 ,57.0,Drama,"This examination of a famous scandal from the 1970s explores the relationship between Barbara Baekeland and her only son, Antony. Barbara, a lonely social climber unhappily married to the wealthy but remote plastics heir Brooks Baekeland, dotes on Antony, who is homosexual. As Barbara tries to ""cure"" Antony of his sexuality -- sometimes by seducing him herself -- the groundwork is laid for a murderous tragedy.","Julianne Moore, Barbara Baekeland, Stephen Dillane, Brooks Baekeland, Eddie Redmayne, Tony Baekeland, Anne Reid, Nini Daly, Elena Anaya, Blanca, Hugh Dancy, Sam Green, Martin Huberty, Aschwin Lippe, Minnie Marx, Midge Vanden Heuvel, Jim Arnold, Joost Vanden Heuvel",Savage Grace, Released, English,4600000.0,968805.0,AU
Transformers,06/28/2007 ,68.0,"Adventure, Science Fiction, Action",Young teenager Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.,"Shia LaBeouf, Sam Witwicky, Megan Fox, Mikaela Banes, Josh Duhamel, Captain Lennox, Tyrese Gibson, USAF Tech Sergeant Epps, Rachael Taylor, Maggie Madsen, Anthony Anderson, Glen Whitman, Jon Voight, Defense Secretary John Keller, John Turturro, Agent Simmons, Michael O'Neill, Tom Banacheck",Transformers, Released, English,151000000.0,708272592.0,AU
Flower and Snake 2: Sketch of Hell,08/24/1985 ,50.0,"Thriller, Drama","Kaori Aso lives in the wealthy family. She cheated her stepmother that she has been kidnapped by somebody. Unfortunately, Aso's accomplice really does kidnap her and her stepmother.","Kaori Asô, Shizuko Tôyama(遠山静子), Mami Fujimura, Kyôko Tôyama(遠山京子), Mari Somei, Akemi(朱実), Akemi Nagisa, Mari(マリ), Kayo Kiyomoto, Ginko(銀子), Jouji Nakata, Mitsuo Kawada(川田美津夫), Aiko Masuda, , Masaaki Hiraoka, Man in the black suit(黒背広の男), Kazuyuki Senba, Ippei Tashiro(田代一平)", 花と蛇　地獄篇, Released, Japanese,165600000.0,372589869.0,JP
Unfriended,04/30/2015 ,55.0,"Horror, Thriller, Mystery","While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead.","Shelley Hennig, Blaire Lilly, Heather Sossaman, Laura Barns ""billie227"", Renee Olstead, Jess Felton, Matthew Bohrer, Matt, Moses Storm, Mitch Roussel, Will Peltz, Adam Sewell, Jacob Wysocki, Ken Smith, Courtney Halverson, Val Rommel, Mickey River, Dank Jimmy",Unfriended, Released, English,1000000.0,64364198.0,AU
Casino Royale,04/18/1989 ,53.0,"Adventure, Action, Comedy","Sir James Bond is called back out of retirement to stop SMERSH. In order to trick SMERSH, James thinks up the ultimate plan - that every agent will be named 'James Bond'. One of the Bonds, whose real name is Evelyn Tremble is sent to take on Le Chiffre in a game of baccarat, but all the Bonds get more than they can handle.","David Niven, James Bond, Peter Sellers, Evelyn Tremble, Ursula Andress, Vesper Lynd, Orson Welles, Le Chiffre, Joanna Pettet, Mata Bond, Daliah Lavi, The Detainer, Deborah Kerr, Agent Mimi / Lady Fiona McTarry, William Holden, Ransome, Charles Boyer, Legrand",Casino Royale, Released, English,102000000.0,594420216.0,AU
Casino Royale,04/18/1989 ,53.0,"Adventure, Action, Comedy","Sir James Bond is called back out of retirement to stop SMERSH. In order to trick SMERSH, James thinks up the ultimate plan - that every agent will be named 'James Bond'. One of the Bonds, whose real name is Evelyn Tremble is sent to take on Le Chiffre in a game of baccarat, but all the Bonds get more than they can handle.","David Niven, James Bond, Peter Sellers, Evelyn Tremble, Ursula Andress, Vesper Lynd, Orson Welles, Le Chiffre, Joanna Pettet, Mata Bond, Daliah Lavi, The Detainer, Deborah Kerr, Agent Mimi / Lady Fiona McTarry, William Holden, Ransome, Charles Boyer, Legrand",Casino Royale, Released, English,12000000.0,41744718.0,AU
The Searchers,05/26/1956 ,78.0,Western,"As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable.","John Wayne, Ethan Edwards, Jeffrey Hunter, Martin Pawley, Vera Miles, Laurie Jorgensen, Natalie Wood, Deborah ""Debbie"" Edwards (older), Ward Bond, Rev. Capt. Samuel Johnston Clayton, John Qualen, Lars Jorgensen, Olive Carey, Mrs. Jorgensen, Henry Brandon, Chief Cicatrice (Scar), Ken Curtis, Charlie McCorry",The Searchers, Released, English,3750000.0,6216423.4,US
