"tconst","primaryTitle","startYear","rank","averageRating","numVotes","runtimeMinutes","directors","writers","genres","IMDbLink","Title_IMDb_Link"
"tt0804497","It's Kind of a Funny Story",2010,2500,7.1,150667,101,"Anna Boden, Ryan Fleck","Anna Boden, Ryan Fleck, Ned Vizzini","Comedy, Drama, Romance","<a href=""https://www.imdb.com/title/tt0804497"" target=""_blank"">tt0804497</a>","<a href=""https://www.imdb.com/title/tt0804497"" target=""_blank"">It's Kind of a Funny Story</a>"
"tt0120784","Payback",1999,2501,7.1,150311,100,"Brian Helgeland","Donald E. Westlake, Brian Helgeland, Terry Hayes","Action, Crime, Drama","<a href=""https://www.imdb.com/title/tt0120784"" target=""_blank"">tt0120784</a>","<a href=""https://www.imdb.com/title/tt0120784"" target=""_blank"">Payback</a>"
"tt0251160","John Q",2002,2502,7.1,149654,116,"Nick Cassavetes","James Kearns","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0251160"" target=""_blank"">tt0251160</a>","<a href=""https://www.imdb.com/title/tt0251160"" target=""_blank"">John Q</a>"
"tt11271038","Licorice Pizza",2021,2503,7.1,148840,133,"Paul Thomas Anderson","Paul Thomas Anderson","Comedy, Drama, Romance","<a href=""https://www.imdb.com/title/tt11271038"" target=""_blank"">tt11271038</a>","<a href=""https://www.imdb.com/title/tt11271038"" target=""_blank"">Licorice Pizza</a>"
"tt2305051","Wild",2014,2504,7.1,143528,115,"Jean-Marc Vallée","Nick Hornby, Cheryl Strayed","Adventure, Biography, Drama","<a href=""https://www.imdb.com/title/tt2305051"" target=""_blank"">tt2305051</a>","<a href=""https://www.imdb.com/title/tt2305051"" target=""_blank"">Wild</a>"
"tt9495224","Black Mirror: Bandersnatch",2018,2505,7.1,141455,90,"David Slade","Charlie Brooker","Drama, Fantasy, Mystery","<a href=""https://www.imdb.com/title/tt9495224"" target=""_blank"">tt9495224</a>","<a href=""https://www.imdb.com/title/tt9495224"" target=""_blank"">Black Mirror: Bandersnatch</a>"
"tt0468492","The Host",2006,2506,7.1,139120,120,"Bong Joon Ho","Bong Joon Ho, Won-jun Ha, Chul-hyun Baek","Drama, Horror, Sci-Fi","<a href=""https://www.imdb.com/title/tt0468492"" target=""_blank"">tt0468492</a>","<a href=""https://www.imdb.com/title/tt0468492"" target=""_blank"">The Host</a>"
"tt0309987","The Dreamers",2003,2507,7.1,138258,115,"Bernardo Bertolucci","Gilbert Adair","Drama, Romance","<a href=""https://www.imdb.com/title/tt0309987"" target=""_blank"">tt0309987</a>","<a href=""https://www.imdb.com/title/tt0309987"" target=""_blank"">The Dreamers</a>"
"tt2763304","T2 Trainspotting",2017,2508,7.1,137924,117,"Danny Boyle","John Hodge, Irvine Welsh","Comedy, Crime, Drama","<a href=""https://www.imdb.com/title/tt2763304"" target=""_blank"">tt2763304</a>","<a href=""https://www.imdb.com/title/tt2763304"" target=""_blank"">T2 Trainspotting</a>"
"tt1489887","Booksmart",2019,2509,7.1,137165,102,"Olivia Wilde","Emily Halpern, Sarah Haskins, Susanna Fogel, Katie Silberman","Comedy","<a href=""https://www.imdb.com/title/tt1489887"" target=""_blank"">tt1489887</a>","<a href=""https://www.imdb.com/title/tt1489887"" target=""_blank"">Booksmart</a>"
"tt1692486","Carnage",2011,2510,7.1,136160,80,"Roman Polanski","Yasmina Reza, Michael Katims, Roman Polanski","Comedy, Drama","<a href=""https://www.imdb.com/title/tt1692486"" target=""_blank"">tt1692486</a>","<a href=""https://www.imdb.com/title/tt1692486"" target=""_blank"">Carnage</a>"
"tt2494362","Bone Tomahawk",2015,2511,7.1,132454,132,"S. Craig Zahler","S. Craig Zahler","Drama, Horror, Western","<a href=""https://www.imdb.com/title/tt2494362"" target=""_blank"">tt2494362</a>","<a href=""https://www.imdb.com/title/tt2494362"" target=""_blank"">Bone Tomahawk</a>"
