,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type
5001,5002,Aparajito,1956,13+,68/100,0,0,1,0,0
5002,5003,Pulse,2001,18+,68/100,0,0,1,0,0
5003,5004,HyperNormalisation,2016,,68/100,0,0,1,0,0
5004,5005,Scoop,2006,13+,68/100,0,0,1,0,0
5005,5006,Dorian Gray,2009,18+,68/100,0,0,1,0,0
5006,5007,"Don't Worry, He Won't Get Far on Foot",2018,18+,68/100,0,0,1,0,0
5007,5008,Welcome to the Sticks,2008,,68/100,0,0,1,0,0
5008,5009,The Hunter,2011,18+,68/100,0,0,1,0,0
5009,5010,SlingShot,2014,,68/100,0,0,1,0,0
5010,5011,High Life,2018,18+,68/100,0,0,1,0,0
5011,5012,Aruvi,2017,,68/100,0,0,1,0,0
5012,5013,Priest,2011,13+,67/100,0,0,1,0,0
5013,5014,Shakuntala Devi,2020,,67/100,0,0,1,0,0
5014,5015,Pumping Iron,1977,7+,67/100,0,0,1,0,0
5015,5016,Splinter,2008,18+,67/100,0,0,1,0,0
5016,5017,Fathers and Daughters,2015,18+,67/100,0,0,1,0,0
5017,5018,Alan Partridge: Alpha Papa,2013,13+,67/100,0,0,1,0,0
5018,5019,Penguin Highway,2018,7+,67/100,0,0,1,0,0
5019,5020,Spun,2002,18+,67/100,0,0,1,0,0
5020,5021,Pataakha,2018,,67/100,0,0,1,0,0
5021,5022,Porky's,1981,18+,67/100,0,0,1,0,0
5022,5023,The Ultimate Gift,2007,7+,67/100,0,0,1,0,0
5023,5024,The Mexican,2001,18+,67/100,0,0,1,0,0
5024,5025,The Ruins,2008,18+,67/100,0,0,1,0,0
5025,5026,George Carlin: It's Bad for Ya!,2008,18+,67/100,0,0,1,0,0
5026,5027,And Then There Were None,1945,,67/100,0,0,1,0,0
5027,5028,Angela's Ashes,1999,18+,67/100,0,0,1,0,0
5028,5029,Lisa and the Devil,1973,18+,67/100,0,0,1,0,0
5029,5030,Premonition,2007,13+,67/100,0,0,1,0,0
5030,5031,Stories We Tell,2012,13+,67/100,0,0,1,0,0
5031,5032,Bad Samaritan,2018,18+,67/100,0,0,1,0,0
5032,5033,Carriers,2009,13+,67/100,0,0,1,0,0
5033,5034,"Jeff, Who Lives at Home",2011,18+,67/100,0,0,1,0,0
5034,5035,22 Bullets,2010,,67/100,0,0,1,0,0
5035,5036,House on Haunted Hill,1959,,67/100,0,0,1,0,0
5036,5037,Jolt,2021,18+,67/100,0,0,1,0,0
5037,5038,Wiener-Dog,2016,18+,67/100,0,0,1,0,0
5038,5039,Mohabbatein,2000,7+,67/100,0,0,1,0,0
5039,5040,Riding in Cars with Boys,2001,13+,67/100,0,0,1,0,0
5040,5041,Lake Mungo,2009,18+,67/100,0,0,1,0,0
5041,5042,Arbitrage,2012,18+,67/100,0,0,1,0,0
5042,5043,Anbe Sivam,2003,,67/100,0,0,1,0,0
5043,5044,Last Flag Flying,2017,18+,67/100,0,0,1,0,0
5044,5045,Louisiana Story,1948,,67/100,0,0,1,0,0
5045,5046,Macbeth,2015,18+,67/100,0,0,1,0,0
5046,5047,The Goldfinch,2019,18+,67/100,0,0,1,0,0
5047,5048,The Man Who Fell to Earth,1976,18+,67/100,0,0,1,0,0
5048,5049,The Phantom of the Opera,1925,,67/100,0,0,1,0,0
5049,5050,The Bishop's Wife,1947,,67/100,0,0,1,0,0
5050,5051,Absolutely Anything,2015,18+,67/100,0,0,1,0,0
5051,5052,The Parallax View,1974,18+,67/100,0,0,1,0,0
5052,5053,Wuthering Heights,1939,,67/100,0,0,1,0,0
5053,5054,Explorers,1985,7+,67/100,0,0,1,0,0
5054,5055,The Taking of Deborah Logan,2014,18+,66/100,0,0,1,0,0
5055,5056,Two for the Money,2005,18+,66/100,0,0,1,0,0
5056,5057,The Silencing,2020,18+,66/100,0,0,1,0,0
5057,5058,Mystic India,2005,,66/100,0,0,1,0,0
5058,5059,Why We Fight,2005,13+,66/100,0,0,1,0,0
5059,5060,Johnny Guitar,1954,,66/100,0,0,1,0,0
5060,5061,Shuddh Desi Romance,2013,,66/100,0,0,1,0,0
5061,5062,Fahrenheit 11/9,2018,18+,66/100,0,0,1,0,0
5062,5063,Deuce Bigalow: Male Gigolo,1999,18+,66/100,0,0,1,0,0
5063,5064,Birdy,1984,18+,66/100,0,0,1,0,0
5064,5065,How I Live Now,2013,18+,66/100,0,0,1,0,0
5065,5066,Elmer Gantry,1960,,66/100,0,0,1,0,0
5066,5067,Absence of Malice,1981,7+,66/100,0,0,1,0,0
5067,5068,Lake Tahoe,2008,,66/100,0,0,1,0,0
5068,5069,Detour,1945,,66/100,0,0,1,0,0
